model,organelle,dataset,dataset_label,crop_id,coverage,voxel_nm,source_image,dice,iou,precision,recall,f1,accuracy,specificity,tp,fp,fn,tn,gt_area,pred_area,eval_area,gt_frac,cldice,boundary_f1,status,infer_s,inst_n_pred,inst_n_gt,inst_precision@0.5,inst_recall@0.5,inst_f1@0.5,inst_ap@0.5,inst_precision@0.75,inst_recall@0.75,inst_f1@0.75,inst_ap@0.75,inst_pq,inst_sq,inst_rq,target_nm,model_type,force_scale
incasem,mito,empiar_10982_mitonet_benchmark,EMPIAR-10982,tem_00098,sparse,2.0,tem_benchmark/images/1unGsOC0dfeB02LCtQwi.tiff,0.645496,0.476556,0.566149,0.750711,0.645496,0.995592,0.996908,67323,51591,22356,16635946,89679,118914,894976,0.100203,0.482329,0.128459,ok,3.71,,,,,,,,,,,,,,,,
incasem,mito,empiar_10982_mitonet_benchmark,EMPIAR-10982,tem_00099,sparse,2.0,tem_benchmark/images/1vNHcbV4bWuC1zywuBdP.tiff,0.70856,0.548658,0.788917,0.643059,0.70856,0.989933,0.996662,205303,54931,113957,16403025,319260,260234,814080,0.392173,0.677346,0.101315,ok,3.912,,,,,,,,,,,,,,,,
incasem,mito,empiar_10982_mitonet_benchmark,EMPIAR-10982,tem_00100,sparse,2.0,tem_benchmark/images/2Tlqk9n8mmGv6G0EGxwl.tiff,0.618276,0.447467,0.864003,0.481371,0.618276,0.970774,0.996082,397089,62503,427823,15889801,824912,459592,1048576,0.786697,0.578068,0.142375,ok,3.718,,,,,,,,,,,,,,,,
incasem,mito,empiar_10982_mitonet_benchmark,EMPIAR-10982,tem_00101,sparse,2.0,tem_benchmark/images/3ib2iOCHNQIgrUaxnLwm.tiff,0.0,0.0,nan,0.0,0.0,0.998489,1.0,0,0,25357,16751859,25357,0,235470,0.107687,0.0,0.0,ok,0.93,,,,,,,,,,,,,,,,
incasem,mito,empiar_10982_mitonet_benchmark,EMPIAR-10982,tem_00102,sparse,2.0,tem_benchmark/images/3pbuH37yaTFrTt52QdNO.tiff,0.873633,0.775621,0.897624,0.850891,0.873633,0.989385,0.995626,615614,70212,107879,15983511,723493,685826,1154560,0.62664,0.85644,0.499111,ok,4.617,,,,,,,,,,,,,,,,
incasem,mito,empiar_10982_mitonet_benchmark,EMPIAR-10982,tem_00103,sparse,2.0,tem_benchmark/images/5BzcbKwHruGS296dUugB.tiff,0.0,0.0,nan,0.0,0.0,0.998788,1.0,0,0,20328,16756888,20328,0,72756,0.2794,0.0,0.0,ok,0.925,,,,,,,,,,,,,,,,
incasem,mito,empiar_10982_mitonet_benchmark,EMPIAR-10982,tem_00104,sparse,2.0,tem_benchmark/images/6plriVrEepvhHyOBmtUc.tiff,0.14612,0.078819,0.123069,0.179796,0.14612,0.995005,0.996947,7171,51097,32713,16686235,39884,58268,619719,0.064358,0.121006,0.066434,ok,3.338,,,,,,,,,,,,,,,,
incasem,mito,empiar_10982_mitonet_benchmark,EMPIAR-10982,tem_00105,sparse,2.0,tem_benchmark/images/6uc2ydKjW1yJG033GPjj.tiff,0.357606,0.217735,0.360098,0.355149,0.357606,0.997692,0.998856,10777,19151,19568,16727720,30345,29928,381920,0.079454,0.31663,0.093469,ok,1.865,,,,,,,,,,,,,,,,
incasem,mito,empiar_10982_mitonet_benchmark,EMPIAR-10982,tem_00106,sparse,2.0,tem_benchmark/images/7Z7jSCJZ23zSW2ZztTPJ.tiff,0.107311,0.056698,0.087805,0.137957,0.107311,0.978938,0.986727,21239,220648,132715,16402614,153954,241887,1048576,0.146822,0.110664,0.064001,ok,3.835,,,,,,,,,,,,,,,,
incasem,mito,empiar_10982_mitonet_benchmark,EMPIAR-10982,tem_00107,sparse,2.0,tem_benchmark/images/9SNS8ZHu7wx8HstQg2Vo.tiff,0.113039,0.059905,0.067809,0.339473,0.113039,0.985381,0.987158,15629,214857,30410,16516320,46039,230486,1012736,0.04546,0.10994,0.059167,ok,3.781,,,,,,,,,,,,,,,,
incasem,mito,empiar_10982_mitonet_benchmark,EMPIAR-10982,tem_00108,sparse,2.0,tem_benchmark/images/9jHLkwpVONtdgyvLyhds.tiff,0.581755,0.410193,0.428052,0.907678,0.581755,0.991542,0.992089,98690,131866,10038,16536622,108728,230556,967680,0.112359,0.535713,0.071668,ok,3.693,,,,,,,,,,,,,,,,
