Dataset,Experiment,Repository,URL,2D images,3D acquisitions,Assets
Control - 8 weeks,Mouse Kidney Aging and Alport Disease Matrix TEM,BioImage Archive,https://doi.org/10.6019/S-BIAD3708,34,0,34
Correlative 3D SBFSEM data from: Intermittent bulk release of human cytomegalovirus,HCMV-Infected Human Fibroblast SBF-SEM,Dryad,https://doi.org/10.5061/dryad.5dv41ns7z,0,1,1
COS-7 Cell FIB-SEM Volume,COS-7 Cell FIB-SEM,OpenOrganelle,https://doi.org/10.25378/janelia.24943716,0,1,1
COS-7 cell overexpressing ER and mitochondria markers for CLEM,COS-7 Cell ER & Mitochondria FIB-SEM,OpenOrganelle,https://doi.org/10.25378/janelia.13123385,0,1,1
COVID-19 Lung Cryobiopsy — Data Set 07: Alveolar organisation,Human COVID-19 Lung Cryobiopsy Ultrastructure,Zenodo,https://doi.org/10.5281/zenodo.5682656,3,0,3
COVID-19 Lung Cryobiopsy — Data Set 11: patient C05,Human COVID-19 Lung Cryobiopsy Ultrastructure,Zenodo,https://doi.org/10.5281/zenodo.5682850,1,0,1
COVID-19 Lung Cryobiopsy — Data Set 12: patient C04 C07,Human COVID-19 Lung Cryobiopsy Ultrastructure,Zenodo,https://doi.org/10.5281/zenodo.5682881,2,0,2
COVID-19 Lung Cryobiopsy — Data Set 13: patient C03,Human COVID-19 Lung Cryobiopsy Ultrastructure,Zenodo,https://doi.org/10.5281/zenodo.5682980,7,0,7
COVID-19 Lung Cryobiopsy — Data Set 14: patient C04,Human COVID-19 Lung Cryobiopsy Ultrastructure,Zenodo,https://doi.org/10.5281/zenodo.5683073,9,0,9
COVID-19 Lung Cryobiopsy — Data Set 15: patient C05,Human COVID-19 Lung Cryobiopsy Ultrastructure,Zenodo,https://doi.org/10.5281/zenodo.5683122,7,0,7
COVID-19 Lung Cryobiopsy — Data Set 16: patient C06,Human COVID-19 Lung Cryobiopsy Ultrastructure,Zenodo,https://doi.org/10.5281/zenodo.5702444,8,0,8
COVID-19 Lung Cryobiopsy — Data Set 17: patient C07,Human COVID-19 Lung Cryobiopsy Ultrastructure,Zenodo,https://doi.org/10.5281/zenodo.5702550,8,0,8
COVID-19 Lung Cryobiopsy — Data Set 18: patient C08,Human COVID-19 Lung Cryobiopsy Ultrastructure,Zenodo,https://doi.org/10.5281/zenodo.5702609,5,0,5
Cropped regions from Serial Block Face SEM of HeLa cell pellet with 10 nm pixels and 50 nm slices (benchmark dataset),HeLa Cell SBF-SEM ROI Benchmark,EMPIAR,https://doi.org/10.6019/EMPIAR-10478,0,18,18
Cryo-FIB-SEM data on Chlamydomonas reinhardtii cells,Chlamydomonas reinhardtii Cryo-FIB-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-10870,0,2,2
