model,organelle,dataset,dataset_label,crop_id,coverage,voxel_nm,source_image,target_nm,infer_s,dice,iou,precision,recall,f1,accuracy,specificity,tp,fp,fn,tn,gt_area,pred_area,eval_area,gt_frac,cldice,boundary_f1,status
lipidnet_scaled,ld,empiar_13420_macrophage_a431,MacrophageSEM,240801_00205,partial,6,FIB/240801_HumanMP_Control/dataset/TIFs/240801_HumanMP_Control_0749.tif,20.0,0.254,0.068873,0.035665,1.0,0.035665,0.068873,0.999126,1.0,542,0,14655,16762019,15197,542,2334996,0.006508,0.0,0.011928,ok
lipidnet_scaled,ld,empiar_13420_macrophage_a431,MacrophageSEM,240801_00206,partial,6,FIB/240801_HumanMP_Control/dataset/TIFs/240801_HumanMP_Control_0783.tif,20.0,0.261,0.0,0.0,nan,0.0,0.0,0.998477,1.0,0,0,25545,16751671,25545,0,2672901,0.009557,0.0,0.0,ok
lipidnet_scaled,ld,empiar_13420_macrophage_a431,MacrophageSEM,240801_00207,partial,6,FIB/240801_HumanMP_Control/dataset/TIFs/240801_HumanMP_Control_0783.tif,20.0,0.225,0.0,0.0,0.0,0.0,0.0,0.998361,0.999597,0,6757,20736,16749723,20736,6757,2435084,0.008516,0.0,0.0,ok
lipidnet_scaled,ld,empiar_13420_macrophage_a431,MacrophageSEM,240801_00208,partial,6,FIB/240801_HumanMP_Control/dataset/TIFs/240801_HumanMP_Control_0817.tif,20.0,0.328,0.0,0.0,0.0,0.0,0.0,0.999563,0.999819,0,3039,4296,16769881,4296,3039,2651307,0.00162,0.0,0.0,ok
lipidnet_scaled,ld,empiar_13420_macrophage_a431,MacrophageSEM,240801_00209,partial,6,FIB/240801_HumanMP_Control/dataset/TIFs/240801_HumanMP_Control_0817.tif,20.0,0.315,0.0,0.0,0.0,0.0,0.0,0.999527,0.999783,0,3647,4296,16769273,4296,3647,2459082,0.001747,0.0,0.0,ok
lipidnet_scaled,ld,empiar_13420_macrophage_a431,MacrophageSEM,240801_00210,partial,6,FIB/240801_HumanMP_Control/dataset/TIFs/240801_HumanMP_Control_0851.tif,20.0,0.265,0.0,0.0,0.0,0.0,0.0,0.997791,0.999554,0,7471,29589,16740156,29589,7471,2804960,0.010549,0.0,0.0,ok
lipidnet_scaled,ld,empiar_13420_macrophage_a431,MacrophageSEM,240801_00211,partial,6,FIB/240801_HumanMP_Control/dataset/TIFs/240801_HumanMP_Control_0851.tif,20.0,0.225,0.0,0.0,0.0,0.0,0.0,0.999143,0.999741,0,4349,10031,16762836,10031,4349,2614730,0.003836,0.0,0.0,ok
lipidnet_scaled,ld,empiar_13420_macrophage_a431,MacrophageSEM,240801_00212,partial,6,FIB/240801_HumanMP_Control/dataset/TIFs/240801_HumanMP_Control_0885.tif,20.0,0.177,0.0,0.0,0.0,0.0,0.0,0.998709,0.999997,0,53,21613,16755550,21613,53,2668383,0.0081,0.0,0.0,ok
lipidnet_scaled,ld,empiar_13420_macrophage_a431,MacrophageSEM,240801_00213,partial,6,FIB/240801_HumanMP_Control/dataset/TIFs/240801_HumanMP_Control_0885.tif,20.0,0.207,0.0,0.0,0.0,0.0,0.0,0.999495,0.999999,0,14,8459,16768743,8459,14,2500587,0.003383,0.0,0.0,ok
lipidnet_scaled,ld,empiar_13420_macrophage_a431,MacrophageSEM,240801_00214,partial,6,FIB/240801_HumanMP_Control/dataset/TIFs/240801_HumanMP_Control_0919.tif,20.0,0.26,0.0,0.0,nan,0.0,0.0,0.999879,1.0,0,0,2038,16775178,2038,0,2714855,0.000751,0.0,0.0,ok
lipidnet_scaled,ld,empiar_13420_macrophage_a431,MacrophageSEM,240801_00215,partial,6,FIB/240801_HumanMP_Control/dataset/TIFs/240801_HumanMP_Control_0919.tif,20.0,0.245,0.0,0.0,nan,0.0,0.0,0.999717,1.0,0,0,4751,16772465,4751,0,2494284,0.001905,0.0,0.0,ok
